Entity,Confirmed,Deaths,DaysSince100,Population,Population60Plus,PopulationDensity,GDP,GDPPerCapita,PhysiciansPer1000,BedsPer10000,CTPerMillion,CO2PerCapita,PopulationMedianAge,Obesity,Smoking,RaisedBloodPressure,GeographicRegion,Fatality,PhysicianOverload,BedOverload,CTOverload
Morocco,479,26,8,36.4718,11.4371,81.7203,109709.0,3070.0,0.7,11.0,1.21,1.7,26.7,17.3,28.85,35.8,Northern Africa,0.054279749478079335,18.762049426837017,1.1939485998896282,10.854078180814803
Netherlands,10866,771,24,17.0971,26.0631,507.0323,830573.0,48754.0,3.5,47.0,12.23,9.9,41.47,16.2,20.5,23.2,Western Europe,0.07095527332965212,181.58467977443124,13.522263387457647,51.96617982097378
New Zealand,514,1,8,4.7831,21.7338,18.1651,202044.0,42935.0,3.0,23.0,15.8,7.7,36.85,27.0,,18.9,Australia and New Zealand,0.0019455252918287938,35.820562675531214,4.672247305504071,6.80137265991099
Nigeria,111,1,1,200.9636,4.5025,220.6524,375770.0,1969.0,0.4,5.0,,0.6,17.84,7.1,12.25,40.0,Sub-Saharan Africa,0.009009009009009009,1.3808470787744644,0.11046776630195716,
North Macedonia,259,6,8,2.0835,20.2682,82.6114,11280.0,5415.0,2.9,,,,,,,,Southern Europe,0.023166023166023165,42.86553627433943,,
Norway,4284,25,24,5.3789,22.9632,14.7258,399470.0,75295.0,4.6,33.0,,9.2,38.88,19.8,14.55,28.0,Northern Europe,0.005835667600373483,173.140297798079,24.13470817791404,
Oman,167,0,4,4.975,4.1578,16.0743,70784.0,15267.0,2.0,18.0,6.88,14.4,25.88,22.0,16.05,30.5,Western Asia,0.0,16.78391959798995,1.8648799553322166,4.87904639476452
Pakistan,1597,14,14,216.5653,6.6394,280.9326,302139.0,1534.0,1.0,6.0,0.33,0.9,22.23,5.9,23.95,28.4,Southern Asia,0.008766437069505322,7.374219230874013,1.2290365384790023,22.346118881436404
Panama,901,17,11,4.2464,11.9273,57.1219,61838.0,15088.0,1.6,22.0,9.58,2.3,27.64,25.8,3.9,28.2,Latin America and the Caribbean,0.018867924528301886,132.61233044461187,9.644533123244502,22.14819715150094
Peru,852,18,13,32.5105,12.0793,25.3988,211403.0,6572.0,1.3,15.0,,2.0,26.16,16.5,,22.8,Latin America and the Caribbean,0.02112676056338028,20.15916751156135,1.7471278510019839,
Philippines,1418,71,16,108.1166,8.341000000000001,362.6006,313595.0,2989.0,1.3,5.0,1.09,1.1,22.74,6.4,21.05,26.2,South-eastern Asia,0.05007052186177715,10.088822907575993,2.6230939559697584,12.032541082430084
Poland,1862,22,16,37.8878,25.4113,123.7232,526212.0,13786.0,2.4,67.0,10.6,7.4,38.55,23.2,21.9,37.2,Eastern Europe,0.011815252416756176,20.477128081686807,0.7335090656126617,4.636330886419654
Portugal,5962,119,17,10.2262,28.8549,111.6518,195041.0,18882.0,3.3,33.0,27.43,4.3,41.81,21.6,21.1,29.3,Southern Europe,0.019959745051995974,176.6703826119836,17.667038261198357,21.254548400275095
Qatar,634,1,19,2.8321,3.2577,243.9334,167605.0,63506.0,0.0,12.0,8.3,49.7,31.64,33.1,,32.6,Western Asia,0.0015772870662460567,inf,18.655179313348164,26.97134358556361
Romania,1815,43,16,19.3646,25.6933,84.1315,211804.0,10763.0,2.3,66.0,5.44,3.6,39.09,17.7,24.950000000000006,36.0,Eastern Europe,0.023691460055096418,40.75118694848377,1.42011712093201,17.229362128954534
Russian Federation,1534,8,13,145.8723,21.9565,8.9072,1577524.0,10956.0,4.0,97.0,,11.9,38.22,24.9,39.3,34.4,Eastern Europe,0.005215123859191656,2.62901181375765,0.10841285829928453,
San Marino,224,22,15,0.0339,24.0856,564.3333,1690.0,50588.0,6.1,,31.8,,,,,,Southern Europe,0.09821428571428571,1083.2245272982254,,207.78835272072874
Saudi Arabia,1299,8,16,34.2685,5.6917,15.9411,683827.0,20761.0,2.4,22.0,3.82,19.5,27.03,35.2,19.05,31.2,Western Asia,0.006158583525789068,15.794388432525496,1.723024192639145,9.92317597855005
Senegal,142,0,4,16.2964,4.7973,84.6432,21126.0,1333.0,0.1,3.0,0.35,0.6,18.01,8.0,14.6,36.1,Sub-Saharan Africa,0.0,87.13580913576004,2.9045269711920016,24.895945467360015
Serbia,741,13,11,8.7722,25.1863,100.3,41590.0,5912.0,3.1,54.0,13.67,4.3,38.38,23.0,38.4,38.1,Southern Europe,0.017543859649122806,27.24883815513966,1.5642851533506101,6.179326867661517
Singapore,844,3,30,5.8043,19.863,8291.91,323901.0,56737.0,2.3,31.0,8.87,10.2,37.88,6.4,16.75,21.4,South-eastern Asia,0.0035545023696682463,63.22149470894517,4.690627026792706,16.393397726107544
Slovakia,314,0,12,5.457000000000001,22.8402,113.4797,95618.0,17552.0,2.5,65.0,,5.6,37.87,24.6,26.45,37.3,Eastern Europe,0.0,23.0163093274693,0.8852426664411269,
Slovenia,730,11,17,2.0787,27.2352,103.2102,48456.0,23296.0,3.0,46.0,13.51,6.2,42.1,27.0,17.3,38.0,Southern Europe,0.015068493150684932,117.06034220105515,7.634370143547074,25.99415444879093
South Africa,1280,2,12,58.5583,8.4053,48.272,348872.0,6151.0,0.9,28.0,0.97,9.1,25.7,33.5,16.900000000000002,37.4,Sub-Saharan Africa,0.0015625,24.28728672489164,0.7806627875858027,22.53459593031183
Spain,80110,6803,28,46.7368,25.7252,93.6984,1314314.0,28354.0,4.1,32.0,13.85,5.1,40.99,24.1,24.6,23.2,Southern Europe,0.0849207339907627,418.0650876877301,53.564589359990414,123.75934003752297
Sri Lanka,117,1,6,21.3237,15.9322,340.0372,87357.0,4184.0,1.0,31.0,1.22,0.9,31.12,5.0,13.95,28.5,Southern Asia,0.008547008547008548,5.486852656902883,0.1769952469968672,4.497420210576133
Sweden,3700,110,24,10.0364,25.7745,24.4587,535607.0,54043.0,5.4,28.0,,4.5,40.91,16.6,14.95,24.6,Northern Europe,0.02972972972972973,68.27001566151061,13.166360163291333,
Switzerland,14829,300,25,8.5914,24.8448,217.4148,678938.0,80101.0,4.2,52.0,,4.3,41.85,14.9,19.6,20.9,Western Europe,0.020230629172567266,410.9591318893644,33.19285296029482,
Thailand,1388,7,15,69.6256,18.4579,136.2829,455303.0,6595.0,0.8,21.0,5.95,4.7,36.42,8.5,20.1,22.3,South-eastern Asia,0.005043227665706052,24.91899531206912,0.9492950595073951,3.3504531512025713
Tunisia,312,8,6,11.6947,13.061,75.275,40069.0,3475.0,1.3,21.0,8.91,2.6,29.89,23.8,,32.0,Northern Africa,0.02564102564102564,20.522116856353733,1.2704167577742789,2.9942482506464483
Turkey,9217,131,11,83.4296,12.7289,108.4022,851542.0,10546.0,1.8,25.0,14.52,4.5,29.04,29.3,19.95,24.5,Western Asia,0.014212867527395031,61.37576538249681,4.41905510753977,7.608565956507869
Ukraine,475,10,5,43.9936,23.3712,75.9401,112154.0,2536.0,3.0,87.0,,5.1,39.62,20.1,28.3,40.3,Eastern Europe,0.021052631578947368,3.5990083406071185,0.12410373588300408,
United Arab Emirates,570,3,12,9.7705,2.7993,116.8724,382575.0,40699.0,2.4,19.0,,23.2,29.37,33.7,,27.7,Western Asia,0.005263157894736842,24.307865513535646,3.0704672227623973,
