Entity,Confirmed cases,Deaths,Days since confirmed cases >= 100,Population in 2019 (millions),Population aged 60+ years old (percentage),Population density in 2019,GDP in 2017 (millions of US dollars),GDP per capita in 2017 (US dollars),Physicians (per 1000 population),Hospital beds per 10000 population,CT units per million population,CO2 emissions per capita,Population median age,Adults aged >= 20 years who are obese (%),Prevalence of smoking,Raised blood pressure,Geographic region
Singapore,844,3,30,5.8043,19.863,8291.91,323901.0,56737.0,2.3,31.0,8.87,10.2,37.88,6.4,16.75,21.4,South-eastern Asia
Slovakia,314,0,12,5.457,22.8402,113.4797,95618.0,17552.0,2.5,65.0,,5.6,37.87,24.6,26.45,37.3,Eastern Europe
Slovenia,730,11,17,2.0787,27.2352,103.2102,48456.0,23296.0,3.0,46.0,13.51,6.2,42.1,27.0,17.3,38.0,Southern Europe
South Africa,1280,2,12,58.5583,8.4053,48.272,348872.0,6151.0,0.9,28.0,0.97,9.1,25.7,33.5,16.900000000000002,37.4,Sub-Saharan Africa
Spain,80110,6803,28,46.7368,25.7252,93.6984,1314314.0,28354.0,4.1,32.0,13.85,5.1,40.99,24.1,24.6,23.2,Southern Europe
Sri Lanka,117,1,6,21.3237,15.9322,340.0372,87357.0,4184.0,1.0,31.0,1.22,0.9,31.12,5.0,13.950000000000001,28.5,Southern Asia
Sweden,3700,110,24,10.0364,25.7745,24.4587,535607.0,54043.0,5.4,28.0,,4.5,40.91,16.6,14.95,24.6,Northern Europe
Switzerland,14829,300,25,8.5914,24.8448,217.4148,678938.0,80101.0,4.2,52.0,,4.3,41.85,14.9,19.6,20.9,Western Europe
Thailand,1388,7,15,69.6256,18.4579,136.2829,455303.0,6595.0,0.8,21.0,5.95,4.7,36.42,8.5,20.099999999999998,22.3,South-eastern Asia
Tunisia,312,8,6,11.6947,13.061,75.275,40069.0,3475.0,1.3,21.0,8.91,2.6,29.89,23.8,,32.0,Northern Africa
Turkey,9217,131,11,83.4296,12.7289,108.4022,851542.0,10546.0,1.8,25.0,14.52,4.5,29.04,29.3,19.95,24.5,Western Asia
Ukraine,475,10,5,43.9936,23.3712,75.9401,112154.0,2536.0,3.0,87.0,,5.1,39.62,20.1,28.3,40.3,Eastern Europe
United Arab Emirates,570,3,12,9.7705,2.7993,116.8724,382575.0,40699.0,2.4,19.0,,23.2,29.37,33.7,,27.7,Western Asia
Channel Islands,108,2,1,0.1723,23.6272,906.6263,,,,,,,,,,,
United Kingdom,19522,1228,25,67.5302,24.135,279.131,2631228.0,39758.0,2.8,33.0,,6.5,40.07,24.9,14.35,23.4,Northern Europe
Uruguay,304,1,9,3.4617,20.012,19.7791,59180.0,17120.0,5.0,12.0,12.91,2.0,34.16,23.6,15.55,31.1,Latin America and the Caribbean
United States of America,140886,2467,27,329.0649,22.418,35.9735,19485394.0,60055.0,2.6,30.0,,16.2,37.3,31.8,13.4,15.6,Northern America
Uzbekistan,144,2,2,32.9817,7.962,77.5311,49677.0,1557.0,2.4,46.0,,3.6,24.88,17.3,11.95,28.4,Central Asia
Venezuela (Boliv. Rep. of),119,2,4,28.5158,11.5782,32.329,255093.0,7977.0,1.9,11.0,,6.1,26.73,30.8,,31.2,Latin America and the Caribbean
Viet Nam,188,0,8,96.4621,11.8554,311.0978,223780.0,2342.0,0.8,31.0,,1.8,29.41,1.6,23.3,26.1,South-eastern Asia
Australia,3984,16,20,25.2032,21.4395,3.2807,1408676.0,57613.0,3.6,38.0,,15.3,37.08,25.1,10.75,18.2,Australia and New Zealand
Canada,6280,64,19,37.411,24.3344,4.114,1647120.0,44974.0,2.6,32.0,13.76,15.1,39.99,24.3,9.95,15.3,Northern America
China,81444,3300,68,1433.7837,16.8409,152.7217,12237782.0,8682.0,1.8,42.0,,7.5,35.12,5.6,22.45,27.8,Eastern Asia
