"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"El Salvador","2010","Both sexes","14.6",""
"El Salvador","2008","Male","24.4",""
"El Salvador","2008","Female","15.4",""
"El Salvador","2008","Both sexes","19",""
"Equatorial Guinea","2010","Female","17.3",""
"Equatorial Guinea","2010","Male","25.1",""
"Equatorial Guinea","2010","Both sexes","22.1",""
"Equatorial Guinea","2008","Both sexes","22.1",""
"Equatorial Guinea","2008","Female","17.3",""
"Equatorial Guinea","2008","Male","25.1",""
"Eritrea","2010","Male","7.8",""
"Eritrea","2010","Female","4.6",""
"Eritrea","2010","Both sexes","6.6",""
"Eritrea","2008","Female","4.6",""
"Eritrea","2008","Male","7.8",""
"Eritrea","2008","Both sexes","6.6",""
"Estonia","2010","Female","27.8",""
"Estonia","2010","Male","33.8",""
"Estonia","2010","Both sexes","30.8",""
"Estonia","2008","Female","27.8",""
"Estonia","2008","Both sexes","30.8",""
"Estonia","2008","Male","33.8",""
"Ethiopia","2010","Male","9.9",""
"Ethiopia","2010","Female","4.9",""
"Ethiopia","2010","Both sexes","7.9",""
"Ethiopia","2008","Both sexes","7.9",""
"Ethiopia","2008","Female","4.9",""
"Ethiopia","2008","Male","9.9",""
"Fiji","2010","Female","10.1",""
"Fiji","2010","Male","17.5",""
"Fiji","2010","Both sexes","13",""
"Fiji","2008","Female","10.2",""
"Fiji","2008","Male","11.6",""
"Fiji","2008","Both sexes","11.5",""
"Finland","2010","Male","-",""
"Finland","2010","Female","-",""
"Finland","2010","Both sexes","-",""
"France","2010","Both sexes","-",""
"France","2010","Female","-",""
"France","2010","Male","-",""
"Gabon","2010","Male","-",""
"Gabon","2010","Female","-",""
"Gabon","2010","Both sexes","-",""
"Gambia","2010","Both sexes","36.1",""
"Gambia","2010","Female","36.6",""
"Gambia","2010","Male","34",""
"Gambia","2008","Female","36.6",""
"Gambia","2008","Male","34",""
"Gambia","2008","Both sexes","36.1",""
"Georgia","2010","Male","15.2",""
"Georgia","2010","Female","2.8",""
"Georgia","2010","Both sexes","8.6",""
"Georgia","2008","Female","2.8",""
"Georgia","2008","Male","15.2",""
"Georgia","2008","Both sexes","8.6",""
"Germany","2010","Female","-",""
"Germany","2010","Male","-",""
"Germany","2010","Both sexes","-",""
"Ghana","2010","Both sexes","12.5",""
"Ghana","2010","Male","14.1",""
"Ghana","2010","Female","10.6",""
"Ghana","2008","Male","11.6",""
"Ghana","2008","Female","10.9",""
"Ghana","2008","Both sexes","11.7",""
"Greece","2010","Female","14.4",""
"Greece","2010","Male","17.1",""
"Greece","2010","Both sexes","16.2",""
"Greece","2008","Both sexes","16.2",""
"Greece","2008","Male","17.1",""
"Greece","2008","Female","14.4",""
"Grenada","2010","Male","24.5",""
"Grenada","2010","Female","16.7",""
"Grenada","2010","Both sexes","20.5",""
"Grenada","2008","Female","15.7",""
"Grenada","2008","Both sexes","16.7",""
"Grenada","2008","Male","17.6",""
"Guatemala","2010","Female","13.3",""
"Guatemala","2010","Male","19.7",""
"Guatemala","2010","Both sexes","16.6",""
"Guatemala","2008","Female","13.3",""
"Guatemala","2008","Both sexes","16.6",""
"Guatemala","2008","Male","19.7",""
"Guinea","2010","Male","30.8",""
"Guinea","2010","Female","20",""
"Guinea","2010","Both sexes","26.1",""
"Guinea","2008","Female","20",""
"Guinea","2008","Male","30.8",""
"Guinea","2008","Both sexes","26.1",""
"Guinea-Bissau","2010","Female","10.3",""
"Guinea-Bissau","2010","Male","11.5",""
"Guinea-Bissau","2010","Both sexes","10.9",""
"Guinea-Bissau","2008","Male","11.5",""
"Guinea-Bissau","2008","Both sexes","10.9",""
"Guinea-Bissau","2008","Female","10.3",""
"Guyana","2010","Male","25.3",""
"Guyana","2010","Female","16",""
"Guyana","2010","Both sexes","20.9",""
"Guyana","2008","Female","12.2",""
"Guyana","2008","Both sexes","14.9",""
"Guyana","2008","Male","17.6",""
"Haiti","2010","Female","23.9",""
"Haiti","2010","Male","21.7",""
"Haiti","2010","Both sexes","23.2",""
"Haiti","2008","Male","21.7",""
"Haiti","2008","Female","23.9",""
"Haiti","2008","Both sexes","23.2",""
"Honduras","2010","Male","22.8",""
"Honduras","2010","Female","18.2",""
"Honduras","2010","Both sexes","20.4",""
"Honduras","2008","Male","22.8",""
"Honduras","2008","Female","18.2",""
"Honduras","2008","Both sexes","20.4",""
"Hungary","2010","Female","26.7",""
"Hungary","2010","Male","27.9",""
"Hungary","2010","Both sexes","27.8",""
"Hungary","2008","Female","26.7",""
"Hungary","2008","Both sexes","27.8",""
"Hungary","2008","Male","27.9",""
"Iceland","2010","Male","-",""
"Iceland","2010","Female","-",""
"Iceland","2010","Both sexes","-",""
"India","2010","Both sexes","14.6",""
"India","2010","Female","8.3",""
"India","2010","Male","19",""
"India","2008","Both sexes","13.7",""
"India","2008","Female","9.4",""
"India","2008","Male","16.8",""
"Indonesia","2010","Male","41",""
"Indonesia","2010","Female","6.2",""
"Indonesia","2010","Both sexes","22.5",""
"Indonesia","2008","Female","4",""
"Indonesia","2008","Male","24.1",""
"Indonesia","2008","Both sexes","13.5",""
"Iran (Islamic Republic of)","2010","Female","19.5",""
"Iran (Islamic Republic of)","2010","Male","32.9",""
"Iran (Islamic Republic of)","2010","Both sexes","26.6",""
"Iran (Islamic Republic of)","2008","Female","19.5",""
"Iran (Islamic Republic of)","2008","Male","32.9",""
"Iran (Islamic Republic of)","2008","Both sexes","26.6",""
"Iraq","2010","Male","17.7",""
"Iraq","2010","Female","15.2",""
"Iraq","2010","Both sexes","17.2",""
"Iraq","2008","Male","17.7",""
"Iraq","2008","Female","15.2",""
"Iraq","2008","Both sexes","17.2",""
"Ireland","2010","Female","-",""
"Ireland","2010","Male","-",""
"Ireland","2010","Both sexes","-",""
"Israel","2010","Both sexes","-",""
"Israel","2010","Male","-",""
"Israel","2010","Female","-",""
"Italy","2010","Female","-",""
"Italy","2010","Male","-",""
"Italy","2010","Both sexes","-",""
"Jamaica","2010","Both sexes","28.7",""
"Jamaica","2010","Male","31.3",""
"Jamaica","2010","Female","24.6",""
"Jamaica","2008","Male","24",""
"Jamaica","2008","Female","15.3",""
"Jamaica","2008","Both sexes","19.5",""
"Japan","2010","Female","-",""
"Japan","2010","Male","-",""
"Japan","2010","Both sexes","-",""
"Jordan","2010","Both sexes","26.1",""
"Jordan","2010","Male","34.1",""
"Jordan","2010","Female","19.4",""
"Jordan","2008","Female","26.1",""
"Jordan","2008","Both sexes","30.3",""
"Jordan","2008","Male","33.7",""
"Kazakhstan","2010","Female","7.8",""
"Kazakhstan","2010","Male","12.2",""
"Kazakhstan","2010","Both sexes","9.9",""
"Kazakhstan","2008","Male","15.2",""
"Kazakhstan","2008","Both sexes","11.4",""
"Kazakhstan","2008","Female","8.1",""
"Kenya","2010","Male","14.9",""
"Kenya","2010","Female","14.5",""
"Kenya","2010","Both sexes","15.1",""
"Kenya","2008","Both sexes","15.1",""
"Kenya","2008","Male","14.9",""
"Kenya","2008","Female","14.5",""
"Kiribati","2010","Female","-",""
"Kiribati","2010","Male","-",""
"Kiribati","2010","Both sexes","-",""
"Kuwait","2010","Both sexes","17.6",""
"Kuwait","2010","Male","25",""
"Kuwait","2010","Female","11.3",""
"Kuwait","2008","Male","28",""
"Kuwait","2008","Female","14.3",""
"Kuwait","2008","Both sexes","20.9",""
"Kyrgyzstan","2010","Female","4.4",""
"Kyrgyzstan","2010","Male","10.3",""
"Kyrgyzstan","2010","Both sexes","7.2",""
"Kyrgyzstan","2008","Both sexes","7.2",""
"Kyrgyzstan","2008","Female","4.4",""
"Kyrgyzstan","2008","Male","10.3",""
"Lao People's Democratic Republic","2010","Male","7.8",""
"Lao People's Democratic Republic","2010","Female","3.9",""
"Lao People's Democratic Republic","2010","Both sexes","5.7",""
"Lao People's Democratic Republic","2008","Both sexes","5.7",""
"Lao People's Democratic Republic","2008","Female","3.9",""
"Lao People's Democratic Republic","2008","Male","7.8",""
"Latvia","2010","Female","33.9",""
"Latvia","2010","Male","41.8",""
"Latvia","2010","Both sexes","37.6",""
"Latvia","2008","Male","41.8",""
"Latvia","2008","Female","33.9",""
"Latvia","2008","Both sexes","37.6",""
"Lebanon","2010","Male","65.8",""
"Lebanon","2010","Female","54.1",""
"Lebanon","2010","Both sexes","59.7",""
"Lebanon","2008","Male","65.8",""
"Lebanon","2008","Female","54.1",""
"Lebanon","2008","Both sexes","59.7",""
"Lesotho","2010","Female","21.7",""
"Lesotho","2010","Male","26.4",""
"Lesotho","2010","Both sexes","24.8",""
"Lesotho","2008","Both sexes","24.8",""
"Lesotho","2008","Female","21.7",""
"Lesotho","2008","Male","26.4",""
"Liberia","2010","Male","14.2",""
"Liberia","2010","Female","11.8",""
"Liberia","2010","Both sexes","13.6",""
"Liberia","2008","Female","11.8",""
"Liberia","2008","Male","14.2",""
"Liberia","2008","Both sexes","13.6",""
"Libya","2010","Female","5",""
"Libya","2010","Male","11",""
"Libya","2010","Both sexes","8.1",""
"Libya","2008","Female","6.1",""
"Libya","2008","Both sexes","11.1",""
"Libya","2008","Male","15.5",""
"Lithuania","2010","Male","38.4",""
"Lithuania","2010","Female","28.8",""
"Lithuania","2010","Both sexes","33.7",""
"Lithuania","2008","Female","28.1",""
"Lithuania","2008","Male","36.8",""
"Lithuania","2008","Both sexes","32.1",""
"Luxembourg","2010","Female","-",""
"Luxembourg","2010","Male","-",""
"Luxembourg","2010","Both sexes","-",""
"Madagascar","2010","Both sexes","22.8",""
"Madagascar","2010","Male","33.2",""
"Madagascar","2010","Female","14.3",""
"Madagascar","2008","Male","33.2",""
"Madagascar","2008","Female","14.3",""
"Madagascar","2008","Both sexes","22.8",""
