"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Guinea-Bissau","2008","Both sexes","5.4 [1.4-12.6]",""
"Guyana","2008","Both sexes","16.9 [8.0-27.0]",""
"Guyana","2008","Female","27.1 [9.9-45.4]",""
"Guyana","2008","Male","8.3 [1.8-19.2]",""
"Haiti","2008","Male","8.4 [1.9-19.1]",""
"Haiti","2008","Female","8.4 [5.1-12.3]",""
"Haiti","2008","Both sexes","8.4 [4.7-13.9]",""
"Honduras","2008","Both sexes","19.8 [15.4-25.1]",""
"Honduras","2008","Female","26.3 [20.0-31.8]",""
"Honduras","2008","Male","12.9 [6.6-22.1]",""
"Hungary","2008","Male","26.2 [17.0-36.3]",""
"Hungary","2008","Female","22.9 [11.1-35.6]",""
"Hungary","2008","Both sexes","24.8 [17.2-33.2]",""
"Iceland","2008","Both sexes","21.9 [15.1-29.1]",""
"Iceland","2008","Female","20.3 [9.6-32.3]",""
"Iceland","2008","Male","23.4 [15.0-32.6]",""
"India","2008","Male","1.3 [0.9-1.9]",""
"India","2008","Female","2.5 [1.6-3.6]",""
"India","2008","Both sexes","1.9 [1.4-2.5]",""
"Indonesia","2008","Both sexes","4.7 [3.2-6.4]",""
"Indonesia","2008","Female","6.9 [4.2-9.8]",""
"Indonesia","2008","Male","2.5 [1.5-3.9]",""
"Iran (Islamic Republic of)","2008","Male","13.6 [10.9-16.6]",""
"Iran (Islamic Republic of)","2008","Female","29.5 [25.7-33.2]",""
"Iran (Islamic Republic of)","2008","Both sexes","21.6 [19.3-24.0]",""
"Iraq","2008","Both sexes","29.4 [24.9-33.7]",""
"Iraq","2008","Female","36.2 [29.0-43.6]",""
"Iraq","2008","Male","22.3 [17.2-27.1]",""
"Ireland","2008","Male","25.7 [22.5-29.1]",""
"Ireland","2008","Female","23.3 [18.5-28.0]",""
"Ireland","2008","Both sexes","24.5 [21.5-27.4]",""
"Israel","2008","Both sexes","25.5 [22.2-29.1]",""
"Israel","2008","Female","27.6 [22.5-33.2]",""
"Israel","2008","Male","23.2 [19.3-27.5]",""
"Italy","2008","Male","19.3 [15.3-23.2]",""
"Italy","2008","Female","14.9 [10.6-19.5]",""
"Italy","2008","Both sexes","17.2 [14.1-20.2]",""
"Jamaica","2008","Both sexes","24.6 [21.4-27.7]",""
"Jamaica","2008","Female","38.2 [32.5-43.5]",""
"Jamaica","2008","Male","10.0 [7.6-12.9]",""
"Japan","2008","Male","5.5 [4.4-6.7]",""
"Japan","2008","Female","3.5 [2.3-4.8]",""
"Japan","2008","Both sexes","4.5 [3.7-5.5]",""
"Jordan","2008","Both sexes","34.3 [31.7-36.9]",""
"Jordan","2008","Female","41.7 [38.4-44.9]",""
"Jordan","2008","Male","27.3 [23.4-31.4]",""
"Kazakhstan","2008","Male","20.2 [9.0-32.5]",""
"Kazakhstan","2008","Female","27.4 [17.3-37.4]",""
"Kazakhstan","2008","Both sexes","24.4 [16.6-32.1]",""
"Kenya","2008","Both sexes","4.7 [2.9-7.1]",""
"Kenya","2008","Female","6.8 [4.3-9.8]",""
"Kenya","2008","Male","2.5 [0.5-6.6]",""
"Kiribati","2008","Male","37.7 [31.2-44.4]",""
"Kiribati","2008","Female","53.6 [45.7-61.4]",""
"Kiribati","2008","Both sexes","45.8 [40.8-51.1]",""
"Kuwait","2008","Both sexes","42.8 [39.1-46.7]",""
"Kuwait","2008","Female","52.4 [46.7-58.0]",""
"Kuwait","2008","Male","37.2 [32.4-42.3]",""
"Kyrgyzstan","2008","Male","11.7 [5.0-21.4]",""
"Kyrgyzstan","2008","Female","21.6 [11.3-32.1]",""
"Kyrgyzstan","2008","Both sexes","17.2 [10.4-24.4]",""
"Lao People's Democratic Republic","2008","Both sexes","3.0 [1.5-5.0]",""
"Lao People's Democratic Republic","2008","Female","4.1 [1.8-7.5]",""
"Lao People's Democratic Republic","2008","Male","1.7 [0.5-3.9]",""
"Latvia","2008","Male","21.5 [13.2-30.4]",""
"Latvia","2008","Female","21.8 [12.1-32.0]",""
"Latvia","2008","Both sexes","22.0 [15.6-29.0]",""
"Lebanon","2008","Both sexes","28.2 [25.3-31.2]",""
"Lebanon","2008","Female","29.7 [25.2-34.3]",""
"Lebanon","2008","Male","26.4 [22.8-29.9]",""
"Lesotho","2008","Male","3.1 [0.4-8.8]",""
"Lesotho","2008","Female","26.6 [18.9-33.9]",""
"Lesotho","2008","Both sexes","16.9 [12.1-21.6]",""
"Liberia","2008","Both sexes","5.5 [3.0-8.9]",""
"Liberia","2008","Female","7.7 [4.4-11.9]",""
"Liberia","2008","Male","3.1 [0.5-8.5]",""
"Libya","2008","Male","21.5 [17.5-25.4]",""
"Libya","2008","Female","41.3 [36.0-46.5]",""
"Libya","2008","Both sexes","30.8 [27.4-34.1]",""
"Lithuania","2008","Both sexes","24.7 [18.0-31.5]",""
"Lithuania","2008","Female","24.7 [14.9-35.0]",""
"Lithuania","2008","Male","23.9 [15.3-32.5]",""
"Luxembourg","2008","Male","24.5 [14.4-35.4]",""
"Luxembourg","2008","Female","22.2 [10.2-35.4]",""
"Luxembourg","2008","Both sexes","23.4 [15.6-31.5]",""
"Madagascar","2008","Both sexes","1.7 [1.1-2.5]",""
"Madagascar","2008","Female","1.5 [0.9-2.3]",""
"Madagascar","2008","Male","1.8 [0.8-3.4]",""
"Malawi","2008","Male","2.6 [1.7-3.8]",""
"Malawi","2008","Female","6.2 [4.2-8.5]",""
"Malawi","2008","Both sexes","4.5 [3.3-5.8]",""
"Malaysia","2008","Both sexes","14.1 [11.4-17.1]",""
"Malaysia","2008","Female","17.9 [13.2-23.1]",""
"Malaysia","2008","Male","10.4 [8.1-13.4]",""
"Maldives","2008","Male","6.5 [1.1-16.9]",""
"Maldives","2008","Female","26.1 [17.1-35.2]",""
"Maldives","2008","Both sexes","16.1 [10.5-22.8]",""
"Mali","2008","Both sexes","4.8 [3.1-6.9]",""
"Mali","2008","Female","6.8 [4.2-10.2]",""
"Mali","2008","Male","2.4 [1.0-4.7]",""
"Malta","2008","Male","26.1 [16.0-36.4]",""
"Malta","2008","Female","26.8 [13.8-40.0]",""
"Malta","2008","Both sexes","26.6 [18.5-35.0]",""
"Marshall Islands","2008","Both sexes","46.5 [40.3-52.6]",""
"Marshall Islands","2008","Female","53.9 [44.6-62.9]",""
"Marshall Islands","2008","Male","38.8 [30.8-47.0]",""
"Mauritania","2008","Male","4.3 [1.5-8.1]",""
"Mauritania","2008","Female","23.3 [15.2-31.0]",""
"Mauritania","2008","Both sexes","14.0 [9.6-18.3]",""
"Mauritius","2008","Both sexes","18.2 [12.4-24.0]",""
"Mauritius","2008","Female","23.0 [13.3-31.8]",""
"Mauritius","2008","Male","12.9 [7.3-20.5]",""
"Mexico","2008","Male","26.7 [22.4-30.5]",""
"Mexico","2008","Female","38.4 [33.0-43.7]",""
"Mexico","2008","Both sexes","32.8 [29.4-36.1]",""
"Micronesia (Federated States of)","2008","Both sexes","42.0 [36.2-48.1]",""
"Micronesia (Federated States of)","2008","Female","53.4 [44.2-62.5]",""
"Micronesia (Federated States of)","2008","Male","30.9 [23.5-38.8]",""
"Mongolia","2008","Male","11.9 [9.6-14.5]",""
"Mongolia","2008","Female","20.7 [16.5-24.8]",""
"Mongolia","2008","Both sexes","16.4 [14.0-18.9]",""
"Montenegro","2008","Both sexes","21.8 [11.7-32.9]",""
"Montenegro","2008","Female","20.7 [6.3-38.1]",""
"Montenegro","2008","Male","22.8 [9.6-37.3]",""
"Morocco","2008","Male","11.1 [6.8-17.0]",""
"Morocco","2008","Female","23.1 [16.7-29.2]",""
"Morocco","2008","Both sexes","17.3 [13.3-21.5]",""
"Mozambique","2008","Both sexes","5.4 [3.5-7.7]",""
"Mozambique","2008","Female","7.8 [4.5-11.6]",""
"Mozambique","2008","Male","2.6 [1.4-4.4]",""
"Myanmar","2008","Male","2.0 [1.2-3.1]",""
"Myanmar","2008","Female","6.1 [3.5-9.2]",""
"Myanmar","2008","Both sexes","4.1 [2.7-5.8]",""
"Namibia","2008","Both sexes","10.9 [8.0-14.0]",""
"Namibia","2008","Female","16.8 [11.9-22.1]",""
"Namibia","2008","Male","4.3 [2.4-6.8]",""
"Nauru","2008","Male","67.5 [60.1-74.6]",""
"Nauru","2008","Female","74.7 [67.0-82.1]",""
"Nauru","2008","Both sexes","71.1 [65.9-76.5]",""
"Nepal","2008","Both sexes","1.5 [0.7-2.7]",""
"Nepal","2008","Female","1.6 [0.8-2.9]",""
"Nepal","2008","Male","1.4 [0.3-3.8]",""
"Netherlands","2008","Male","16.1 [12.5-19.7]",""
"Netherlands","2008","Female","16.1 [11.4-21.0]",""
"Netherlands","2008","Both sexes","16.2 [13.3-19.3]",""
"New Zealand","2008","Both sexes","27.0 [23.8-30.2]",""
"New Zealand","2008","Female","27.7 [22.4-32.9]",""
"New Zealand","2008","Male","26.2 [22.8-29.9]",""
"Nicaragua","2008","Male","16.8 [8.7-26.0]",""
"Nicaragua","2008","Female","31.3 [26.3-36.5]",""
"Nicaragua","2008","Both sexes","24.2 [19.4-29.5]",""
"Niger","2008","Both sexes","2.5 [1.6-3.7]",""
"Niger","2008","Female","3.7 [2.0-5.9]",""
"Niger","2008","Male","1.5 [0.9-2.5]",""
"Nigeria","2008","Male","5.1 [2.3-8.4]",""
"Nigeria","2008","Female","9.0 [6.4-11.8]",""
"Nigeria","2008","Both sexes","7.1 [5.2-9.3]",""
"Norway","2008","Both sexes","19.8 [16.0-23.6]",""
"Norway","2008","Female","17.9 [12.3-24.0]",""
"Norway","2008","Male","21.6 [16.8-26.2]",""
"Oman","2008","Male","19.4 [13.2-25.7]",""
"Oman","2008","Female","25.9 [17.2-33.9]",""
"Oman","2008","Both sexes","22.0 [16.8-26.9]",""
"Pakistan","2008","Both sexes","5.9 [3.2-9.6]",""
"Pakistan","2008","Female","8.4 [3.5-15.6]",""
"Pakistan","2008","Male","3.5 [1.4-6.7]",""
"Palau","2008","Male","44.9 [29.4-60.0]",""
"Palau","2008","Female","56.3 [38.9-74.1]",""
"Palau","2008","Both sexes","50.7 [38.8-62.2]",""
"Panama","2008","Both sexes","25.8 [20.1-31.8]",""
"Panama","2008","Female","32.1 [23.2-41.5]",""
"Panama","2008","Male","19.4 [12.7-26.7]",""
"Papua New Guinea","2008","Male","11.8 [8.6-16.0]",""
"Papua New Guinea","2008","Female","20.1 [13.1-27.7]",""
"Papua New Guinea","2008","Both sexes","15.9 [12.0-20.3]",""
"Paraguay","2008","Both sexes","19.2 [8.7-31.4]",""
"Paraguay","2008","Female","22.3 [5.6-42.4]",""
"Paraguay","2008","Male","16.2 [5.1-31.5]",""
"Peru","2008","Male","11.1 [8.4-14.4]",""
"Peru","2008","Female","21.7 [17.4-25.9]",""
"Peru","2008","Both sexes","16.5 [13.9-19.2]",""
"Philippines","2008","Both sexes","6.4 [4.4-8.8]",""
"Philippines","2008","Female","8.3 [4.7-12.4]",""
"Philippines","2008","Male","4.5 [2.7-6.8]",""
"Poland","2008","Male","22.9 [18.7-26.8]",""
"Poland","2008","Female","22.9 [18.4-27.9]",""
"Poland","2008","Both sexes","23.2 [20.0-26.4]",""
"Portugal","2008","Both sexes","21.6 [17.5-25.5]",""
"Portugal","2008","Female","22.3 [16.4-28.5]",""
"Portugal","2008","Male","20.4 [14.9-25.6]",""
"Qatar","2008","Male","30.8 [26.6-35.6]",""
"Qatar","2008","Female","39.3 [33.2-45.6]",""
"Qatar","2008","Both sexes","33.1 [29.5-36.8]",""
"Republic of Korea","2008","Both sexes","7.3 [6.0-8.9]",""
"Republic of Korea","2008","Female","7.7 [5.5-10.2]",""
"Republic of Korea","2008","Male","6.9 [5.4-8.5]",""
"Republic of Moldova","2008","Male","10.0 [2.2-22.8]",""
"Republic of Moldova","2008","Female","28.8 [21.9-35.6]",""
"Republic of Moldova","2008","Both sexes","20.4 [14.8-27.2]",""
"Romania","2008","Both sexes","17.7 [11.8-23.8]",""
"Romania","2008","Female","19.0 [10.0-28.3]",""
"Romania","2008","Male","16.3 [9.2-24.1]",""
"Russian Federation","2008","Male","18.4 [15.1-21.8]",""
