Entity,Tests,TestsPerMillion,Confirmed,Deaths,Population,Population60Plus,PopulationDensity,GDP,GDPPerCapita,PhysiciansPer1000,BedsPer10000,CTPerMillion,CO2PerCapita,PopulationMedianAge,Obesity,Smoking,RaisedBloodPressure,GeographicRegion,Fatality,PhysicianOverload,BedOverload,CTOverload
Indonesia,3.3070679506612985,0.8692317197309762,2.568201724066995,1.5185139398778875,2.4323688765663563,9.7169,2.174313677972269,6.006696606381459,3.5851221863068155,-0.3979400086720376,0.7781512503836436,,0.25527250510330607,27.47,4.7,44.9,30.9,South-eastern Asia,0.08672086720867209,0.5325974982647417,-0.6434937607909396,
Iran (Islamic Republic of),4.903089986991944,2.9809573162296203,4.104828403653656,2.7867514221455614,1.9186273434243764,9.9872,1.7068261291333524,5.663678315110057,3.754348335711019,0.04139268515822508,1.2304489213782739,,0.919078092376074,27.99,21.6,8.95,28.9,Southern Asia,0.048000628486134025,2.144774257903677,0.9557180216836281,
Ireland,3.8195439355418688,3.1303981036528015,2.3502480183341627,0.47712125471966244,0.688642251959892,19.2596,1.8504857187046284,5.520391816831582,4.842634198346347,0.4913616938342727,1.6901960800285136,0.6570558528571039,0.8633228601204559,34.94,24.5,17.9,27.7,Northern Europe,0.008968609865470852,1.168300917253996,-0.03053346894024503,1.0026067582311646
Israel,4.035989756936426,3.0957967936048023,2.484299839346786,0.0,0.9304090095713,16.3395,2.5951506328621194,5.548104299611931,4.627898155557663,0.505149978319906,1.5440680443502757,0.8750612633917001,0.9084850188786497,30.1,25.5,29.5,19.6,Western Asia,0.0,1.0473145957175476,0.008396529687178059,0.6774033106457537
Italy,5.3157311029012915,3.543906705006407,4.672301097151566,3.605628222007619,1.7821148647278295,29.3835,2.3135605761296953,6.2886593976114735,4.51517151980495,0.6127838567197355,1.5563025007672873,,0.7323937598229685,43.99,17.2,22.700000000000006,24.6,Southern Europe,0.08574892069500861,2.2773931396208913,1.3338744955733397,
Japan,4.173215414714885,2.0711452904510828,2.9661417327390325,1.4771212547196624,2.103325734084861,34.0143,2.541562645593164,6.687744271524302,4.582290682718994,0.38021124171160603,2.1367205671564067,2.0050946750725487,0.9822712330395684,45.53,4.5,17.1,21.5,Eastern Asia,0.031385281385281384,0.4821349954236401,-1.2743743300211607,-1.1427484379373025
Kyrgyzstan,3.1889284837608534,2.3895204658463776,0.0,0.0,0.8072575862943988,7.8433,1.5244052103835561,3.8788089323592057,3.09725730969342,0.2787536009528289,1.7075701760979363,-0.045757490560675115,0.2304489213782739,24.34,17.2,26.7,36.0,Central Asia,,-inf,-inf,-inf
Latvia,3.5058280338548364,3.228682609712965,2.0492180226701815,0.0,0.2802823665678664,27.1487,1.4865013204632531,4.4837726704803105,4.1938200260161125,0.505149978319906,1.806179973983887,,0.5440680443502757,41.44,22.0,34.25,38.3,Northern Europe,0.0,1.259890633898885,-0.04113936176509618,
Lithuania,3.0622058088197126,2.607025878434786,1.6989700043360187,0.0,0.440846136274557,26.8613,1.6437624942855202,4.677095717250153,4.216165902285993,0.6334684555795865,1.8325089127062364,1.3057811512549822,0.6434526764861874,39.09,24.7,27.3,39.8,Northern Europe,0.0,0.6158814881743703,-0.5831589689522796,-0.05643120750102556
Malaysia,4.142264291170022,2.6255182289716377,3.0132586652835167,0.6020599913279624,1.504468143897604,10.6166,1.9878663874611384,5.497906402994451,3.997866726239145,0.17609125905568124,1.255272505103306,0.8082109729242221,0.9084850188786497,26.99,14.1,19.3,26.8,South-eastern Asia,0.002912621359223301,1.332277821751887,0.25309657570426214,0.7001581078833462
